Time;Voltage;Current;Power;
07:00:30 11/06/2024;5.05;0.516;2.605;
07:00:30 11/06/2024;5.05;0.513;2.590;
07:00:31 11/06/2024;5.05;0.517;2.610;
07:00:31 11/06/2024;5.05;0.516;2.605;
07:00:32 11/06/2024;5.05;0.516;2.605;
07:00:32 11/06/2024;5.04;0.600;3.024;
07:00:33 11/06/2024;5.05;0.552;2.787;
07:00:33 11/06/2024;5.05;0.514;2.595;
07:00:34 11/06/2024;5.05;0.514;2.595;
07:00:34 11/06/2024;5.05;0.515;2.600;
07:00:35 11/06/2024;5.05;0.515;2.600;
07:00:35 11/06/2024;5.05;0.517;2.610;
07:00:36 11/06/2024;5.05;0.513;2.590;
07:00:36 11/06/2024;5.05;0.514;2.595;
07:00:37 11/06/2024;5.06;0.513;2.595;
07:00:37 11/06/2024;5.05;0.514;2.595;
07:00:38 11/06/2024;5.05;0.513;2.590;
07:00:38 11/06/2024;5.05;0.515;2.600;
07:00:39 11/06/2024;5.05;0.515;2.600;
07:00:39 11/06/2024;5.05;0.520;2.626;
07:00:40 11/06/2024;5.05;0.514;2.595;
07:00:40 11/06/2024;5.05;0.515;2.600;
07:00:41 11/06/2024;5.05;0.515;2.600;
07:00:41 11/06/2024;5.05;0.512;2.585;
07:00:42 11/06/2024;5.05;0.510;2.575;
07:00:42 11/06/2024;5.05;0.514;2.595;
07:00:43 11/06/2024;5.05;0.512;2.585;
07:00:43 11/06/2024;5.05;0.516;2.605;
07:00:44 11/06/2024;5.05;0.512;2.585;
07:00:44 11/06/2024;5.05;0.514;2.595;
07:00:45 11/06/2024;5.05;0.514;2.595;
07:00:45 11/06/2024;5.05;0.516;2.605;
07:00:46 11/06/2024;5.05;0.511;2.580;
07:00:46 11/06/2024;5.05;0.514;2.595;
07:00:47 11/06/2024;5.05;0.516;2.605;
07:00:47 11/06/2024;5.05;0.513;2.590;
07:00:48 11/06/2024;5.05;0.514;2.595;
07:00:48 11/06/2024;5.05;0.521;2.631;
07:00:49 11/06/2024;5.05;0.515;2.600;
07:00:49 11/06/2024;5.04;0.618;3.114;
07:00:50 11/06/2024;5.05;0.514;2.595;
07:00:50 11/06/2024;5.05;0.515;2.600;
07:00:51 11/06/2024;5.05;0.514;2.595;
07:00:51 11/06/2024;5.05;0.513;2.590;
07:00:52 11/06/2024;5.05;0.515;2.600;
07:00:52 11/06/2024;5.05;0.514;2.595;
07:00:53 11/06/2024;5.05;0.512;2.585;
07:00:53 11/06/2024;5.05;0.514;2.595;
07:00:54 11/06/2024;5.05;0.509;2.570;
07:00:54 11/06/2024;5.05;0.514;2.595;
07:00:55 11/06/2024;5.05;0.512;2.585;
07:00:55 11/06/2024;5.05;0.512;2.585;
07:00:56 11/06/2024;5.05;0.516;2.605;
07:00:56 11/06/2024;5.04;0.623;3.139;
07:00:57 11/06/2024;5.05;0.514;2.595;
07:00:57 11/06/2024;5.05;0.515;2.600;
07:00:58 11/06/2024;5.05;0.512;2.585;
07:00:58 11/06/2024;5.05;0.511;2.580;
07:00:59 11/06/2024;5.05;0.516;2.605;
07:00:59 11/06/2024;5.05;0.513;2.590;
07:01:00 11/06/2024;5.05;0.514;2.595;
07:01:00 11/06/2024;5.05;0.513;2.590;
07:01:01 11/06/2024;5.06;0.511;2.585;
07:01:01 11/06/2024;5.05;0.514;2.595;
07:01:02 11/06/2024;5.05;0.511;2.580;
07:01:02 11/06/2024;5.05;0.514;2.595;
07:01:03 11/06/2024;5.05;0.544;2.747;
07:01:03 11/06/2024;5.05;0.515;2.600;
07:01:04 11/06/2024;5.05;0.514;2.595;
07:01:04 11/06/2024;5.05;0.514;2.595;
07:01:05 11/06/2024;5.05;0.513;2.590;
07:01:05 11/06/2024;5.05;0.515;2.600;
07:01:06 11/06/2024;5.05;0.514;2.595;
07:01:06 11/06/2024;5.05;0.514;2.595;
07:01:07 11/06/2024;5.05;0.513;2.590;
07:01:07 11/06/2024;5.05;0.515;2.600;
07:01:08 11/06/2024;5.05;0.512;2.585;
07:01:08 11/06/2024;5.05;0.514;2.595;
07:01:09 11/06/2024;5.05;0.513;2.590;
07:01:09 11/06/2024;5.05;0.574;2.898;
07:01:10 11/06/2024;5.05;0.514;2.595;
07:01:10 11/06/2024;5.05;0.514;2.595;
07:01:11 11/06/2024;5.06;0.511;2.585;
07:01:11 11/06/2024;5.05;0.512;2.585;
07:01:12 11/06/2024;5.05;0.514;2.595;
07:01:12 11/06/2024;5.05;0.516;2.605;
07:01:13 11/06/2024;5.04;0.623;3.139;
07:01:13 11/06/2024;5.05;0.531;2.681;
07:01:14 11/06/2024;5.05;0.515;2.600;
07:01:14 11/06/2024;5.05;0.515;2.600;
07:01:15 11/06/2024;5.05;0.515;2.600;
07:01:15 11/06/2024;5.05;0.513;2.590;
07:01:16 11/06/2024;5.05;0.511;2.580;
07:01:16 11/06/2024;5.05;0.512;2.585;
07:01:17 11/06/2024;5.05;0.512;2.585;
07:01:17 11/06/2024;5.06;0.512;2.590;
07:01:18 11/06/2024;5.05;0.513;2.590;
07:01:18 11/06/2024;5.05;0.512;2.585;
07:01:19 11/06/2024;5.06;0.511;2.585;
07:01:19 11/06/2024;5.05;0.512;2.585;
07:01:20 11/06/2024;5.05;0.513;2.590;
07:01:20 11/06/2024;5.05;0.514;2.595;
07:01:21 11/06/2024;5.05;0.514;2.595;
07:01:21 11/06/2024;5.06;0.515;2.605;
07:01:22 11/06/2024;5.05;0.515;2.600;
07:01:22 11/06/2024;5.06;0.514;2.600;
07:01:23 11/06/2024;5.05;0.513;2.590;
07:01:23 11/06/2024;5.05;0.516;2.605;
07:01:24 11/06/2024;5.05;0.514;2.595;
07:01:24 11/06/2024;5.05;0.511;2.580;
07:01:25 11/06/2024;5.05;0.513;2.590;
07:01:25 11/06/2024;5.06;0.514;2.600;
07:01:26 11/06/2024;5.05;0.513;2.590;
07:01:26 11/06/2024;5.04;0.632;3.185;
07:01:27 11/06/2024;5.05;0.515;2.600;
07:01:27 11/06/2024;5.05;0.514;2.595;
07:01:28 11/06/2024;5.05;0.514;2.595;
07:01:28 11/06/2024;5.05;0.512;2.585;
07:01:29 11/06/2024;5.05;0.517;2.610;
07:01:29 11/06/2024;5.05;0.515;2.600;
07:01:30 11/06/2024;5.05;0.513;2.590;
07:01:30 11/06/2024;5.05;0.515;2.600;
07:01:31 11/06/2024;5.05;0.514;2.595;
07:01:31 11/06/2024;5.05;0.512;2.585;
07:01:32 11/06/2024;5.05;0.515;2.600;
07:01:32 11/06/2024;5.05;0.512;2.585;
07:01:33 11/06/2024;5.04;0.612;3.084;
07:01:33 11/06/2024;5.05;0.513;2.590;
07:01:34 11/06/2024;5.05;0.513;2.590;
07:01:34 11/06/2024;5.05;0.513;2.590;
07:01:35 11/06/2024;5.05;0.512;2.585;
07:01:35 11/06/2024;5.05;0.511;2.580;
07:01:36 11/06/2024;5.05;0.514;2.595;
07:01:36 11/06/2024;5.05;0.518;2.615;
07:01:37 11/06/2024;5.05;0.515;2.600;
07:01:37 11/06/2024;5.05;0.513;2.590;
07:01:38 11/06/2024;5.05;0.517;2.610;
07:01:38 11/06/2024;5.05;0.513;2.590;
07:01:39 11/06/2024;5.05;0.513;2.590;
07:01:39 11/06/2024;5.05;0.513;2.590;
07:01:40 11/06/2024;5.05;0.514;2.595;
07:01:40 11/06/2024;5.05;0.513;2.590;
07:01:41 11/06/2024;5.05;0.513;2.590;
07:01:41 11/06/2024;5.05;0.512;2.585;
07:01:42 11/06/2024;5.05;0.516;2.605;
07:01:42 11/06/2024;5.05;0.513;2.590;
07:01:43 11/06/2024;5.05;0.573;2.893;
07:01:43 11/06/2024;5.05;0.575;2.903;
07:01:44 11/06/2024;5.05;0.512;2.585;
07:01:44 11/06/2024;5.05;0.515;2.600;
07:01:45 11/06/2024;5.05;0.512;2.585;
07:01:45 11/06/2024;5.05;0.510;2.575;
07:01:46 11/06/2024;5.05;0.511;2.580;
07:01:46 11/06/2024;5.04;0.605;3.049;
07:01:47 11/06/2024;5.05;0.514;2.595;
07:01:47 11/06/2024;5.05;0.513;2.590;
07:01:48 11/06/2024;5.05;0.515;2.600;
07:01:48 11/06/2024;5.05;0.512;2.585;
07:01:49 11/06/2024;5.05;0.513;2.590;
07:01:49 11/06/2024;5.05;0.516;2.605;
07:01:50 11/06/2024;5.05;0.514;2.595;
07:01:50 11/06/2024;5.05;0.514;2.595;
07:01:51 11/06/2024;5.05;0.514;2.595;
07:01:51 11/06/2024;5.05;0.512;2.585;
07:01:52 11/06/2024;5.05;0.515;2.600;
07:01:52 11/06/2024;5.05;0.514;2.595;
07:01:53 11/06/2024;5.05;0.512;2.585;
07:01:53 11/06/2024;5.05;0.517;2.610;
07:01:54 11/06/2024;5.05;0.515;2.600;
07:01:54 11/06/2024;5.05;0.514;2.595;
07:01:55 11/06/2024;5.05;0.514;2.595;
07:01:55 11/06/2024;5.05;0.511;2.580;
07:01:56 11/06/2024;5.05;0.513;2.590;
07:01:56 11/06/2024;5.04;0.602;3.034;
07:01:57 11/06/2024;5.05;0.515;2.600;
07:01:57 11/06/2024;5.05;0.514;2.595;
07:01:58 11/06/2024;5.05;0.515;2.600;
07:01:58 11/06/2024;5.05;0.515;2.600;
07:01:59 11/06/2024;5.05;0.511;2.580;
07:01:59 11/06/2024;5.06;0.497;2.514;
07:02:00 11/06/2024;5.04;0.598;3.013;
07:02:00 11/06/2024;5.04;0.627;3.160;
07:02:01 11/06/2024;5.04;0.631;3.180;
07:02:01 11/06/2024;5.04;0.627;3.160;
07:02:02 11/06/2024;5.04;0.609;3.069;
07:02:02 11/06/2024;5.05;0.585;2.954;
