Time;Voltage;Current;Power;
18:52:38 12/06/2024;5.05;0.557;2.812;
18:52:38 12/06/2024;5.04;0.584;2.943;
18:52:39 12/06/2024;5.04;0.582;2.933;
18:52:39 12/06/2024;5.04;0.578;2.913;
18:52:40 12/06/2024;5.05;0.556;2.807;
18:52:40 12/06/2024;5.05;0.539;2.721;
18:52:41 12/06/2024;5.04;0.569;2.867;
18:52:41 12/06/2024;5.04;0.589;2.968;
18:52:42 12/06/2024;5.05;0.565;2.853;
18:52:42 12/06/2024;5.04;0.602;3.034;
18:52:43 12/06/2024;5.03;0.682;3.430;
18:52:43 12/06/2024;5.04;0.584;2.943;
18:52:44 12/06/2024;5.05;0.565;2.853;
18:52:44 12/06/2024;5.05;0.560;2.828;
18:52:45 12/06/2024;5.05;0.561;2.833;
18:52:45 12/06/2024;5.05;0.559;2.822;
18:52:46 12/06/2024;5.05;0.558;2.817;
18:52:46 12/06/2024;5.03;0.690;3.470;
18:52:47 12/06/2024;5.05;0.557;2.812;
18:52:47 12/06/2024;5.05;0.554;2.797;
18:52:48 12/06/2024;5.05;0.562;2.838;
18:52:48 12/06/2024;5.05;0.572;2.888;
18:52:49 12/06/2024;5.05;0.559;2.822;
18:52:49 12/06/2024;5.05;0.561;2.833;
18:52:50 12/06/2024;5.05;0.559;2.822;
18:52:50 12/06/2024;5.05;0.571;2.883;
18:52:51 12/06/2024;5.04;0.570;2.872;
18:52:51 12/06/2024;5.05;0.562;2.838;
18:52:52 12/06/2024;5.05;0.554;2.797;
18:52:52 12/06/2024;5.05;0.569;2.873;
18:52:53 12/06/2024;5.04;0.588;2.963;
18:52:53 12/06/2024;5.04;0.575;2.898;
18:52:54 12/06/2024;5.05;0.559;2.822;
18:52:54 12/06/2024;5.05;0.505;2.550;
18:52:55 12/06/2024;5.05;0.505;2.550;
18:52:55 12/06/2024;5.05;0.506;2.555;
18:52:56 12/06/2024;5.05;0.507;2.560;
18:52:56 12/06/2024;5.05;0.500;2.525;
18:52:57 12/06/2024;5.05;0.508;2.565;
18:52:57 12/06/2024;5.05;0.503;2.540;
18:52:58 12/06/2024;5.05;0.507;2.560;
18:52:58 12/06/2024;5.05;0.506;2.555;
18:52:59 12/06/2024;5.05;0.505;2.550;
18:52:59 12/06/2024;5.05;0.542;2.737;
18:53:00 12/06/2024;5.05;0.507;2.560;
18:53:00 12/06/2024;5.05;0.502;2.535;
18:53:01 12/06/2024;5.05;0.507;2.560;
18:53:01 12/06/2024;5.05;0.506;2.555;
18:53:02 12/06/2024;5.05;0.509;2.570;
18:53:02 12/06/2024;5.05;0.505;2.550;
18:53:03 12/06/2024;5.05;0.506;2.555;
18:53:03 12/06/2024;5.05;0.506;2.555;
18:53:04 12/06/2024;5.05;0.514;2.595;
18:53:04 12/06/2024;5.05;0.503;2.540;
18:53:05 12/06/2024;5.05;0.515;2.600;
18:53:05 12/06/2024;5.05;0.508;2.565;
18:53:06 12/06/2024;5.05;0.499;2.519;
18:53:06 12/06/2024;5.05;0.504;2.545;
18:53:07 12/06/2024;5.05;0.503;2.540;
18:53:07 12/06/2024;5.05;0.498;2.514;
18:53:08 12/06/2024;5.05;0.533;2.691;
18:53:08 12/06/2024;5.05;0.508;2.565;
18:53:09 12/06/2024;5.05;0.510;2.575;
18:53:09 12/06/2024;5.05;0.506;2.555;
18:53:10 12/06/2024;5.05;0.502;2.535;
18:53:10 12/06/2024;5.05;0.508;2.565;
18:53:11 12/06/2024;5.05;0.558;2.817;
18:53:11 12/06/2024;5.05;0.504;2.545;
18:53:12 12/06/2024;5.05;0.505;2.550;
18:53:12 12/06/2024;5.04;0.590;2.973;
18:53:13 12/06/2024;5.05;0.509;2.570;
18:53:13 12/06/2024;5.05;0.506;2.555;
18:53:14 12/06/2024;5.05;0.549;2.772;
18:53:14 12/06/2024;5.05;0.510;2.575;
18:53:15 12/06/2024;5.05;0.510;2.575;
18:53:15 12/06/2024;5.05;0.504;2.545;
18:53:16 12/06/2024;5.05;0.504;2.545;
18:53:16 12/06/2024;5.05;0.506;2.555;
18:53:17 12/06/2024;5.05;0.508;2.565;
18:53:17 12/06/2024;5.05;0.508;2.565;
18:53:18 12/06/2024;5.05;0.512;2.585;
18:53:18 12/06/2024;5.05;0.502;2.535;
18:53:19 12/06/2024;5.05;0.505;2.550;
18:53:19 12/06/2024;5.05;0.504;2.545;
18:53:20 12/06/2024;5.05;0.506;2.555;
18:53:20 12/06/2024;5.05;0.523;2.641;
18:53:21 12/06/2024;5.05;0.499;2.519;
18:53:21 12/06/2024;5.05;0.501;2.530;
18:53:22 12/06/2024;5.05;0.508;2.565;
18:53:22 12/06/2024;5.05;0.506;2.555;
18:53:23 12/06/2024;5.05;0.515;2.600;
18:53:23 12/06/2024;5.05;0.505;2.550;
18:53:24 12/06/2024;5.05;0.505;2.550;
18:53:24 12/06/2024;5.05;0.507;2.560;
18:53:25 12/06/2024;5.05;0.504;2.545;
18:53:25 12/06/2024;5.05;0.505;2.550;
18:53:26 12/06/2024;5.05;0.503;2.540;
18:53:26 12/06/2024;5.05;0.516;2.605;
18:53:27 12/06/2024;5.05;0.531;2.681;
18:53:27 12/06/2024;5.05;0.506;2.555;
18:53:28 12/06/2024;5.05;0.546;2.757;
18:53:28 12/06/2024;5.05;0.504;2.545;
18:53:29 12/06/2024;5.05;0.502;2.535;
18:53:29 12/06/2024;5.05;0.508;2.565;
18:53:30 12/06/2024;5.05;0.508;2.565;
18:53:30 12/06/2024;5.05;0.505;2.550;
18:53:31 12/06/2024;5.05;0.555;2.802;
18:53:31 12/06/2024;5.05;0.506;2.555;
18:53:32 12/06/2024;5.05;0.501;2.530;
18:53:32 12/06/2024;5.05;0.508;2.565;
18:53:33 12/06/2024;5.05;0.502;2.535;
18:53:33 12/06/2024;5.05;0.499;2.519;
18:53:34 12/06/2024;5.05;0.511;2.580;
18:53:34 12/06/2024;5.05;0.511;2.580;
18:53:35 12/06/2024;5.05;0.505;2.550;
18:53:35 12/06/2024;5.05;0.506;2.555;
18:53:36 12/06/2024;5.05;0.504;2.545;
18:53:36 12/06/2024;5.05;0.505;2.550;
18:53:37 12/06/2024;5.05;0.507;2.560;
18:53:37 12/06/2024;5.05;0.503;2.540;
18:53:38 12/06/2024;5.05;0.503;2.540;
18:53:38 12/06/2024;5.05;0.500;2.525;
18:53:39 12/06/2024;5.05;0.510;2.575;
18:53:39 12/06/2024;5.05;0.508;2.565;
18:53:40 12/06/2024;5.05;0.507;2.560;
18:53:40 12/06/2024;5.05;0.503;2.540;
18:53:41 12/06/2024;5.05;0.502;2.535;
18:53:41 12/06/2024;5.05;0.507;2.560;
18:53:42 12/06/2024;5.05;0.523;2.641;
18:53:42 12/06/2024;5.05;0.498;2.514;
18:53:43 12/06/2024;5.05;0.503;2.540;
18:53:43 12/06/2024;5.05;0.505;2.550;
18:53:44 12/06/2024;5.05;0.508;2.565;
18:53:44 12/06/2024;5.05;0.502;2.535;
18:53:45 12/06/2024;5.05;0.508;2.565;
18:53:45 12/06/2024;5.05;0.502;2.535;
18:53:46 12/06/2024;5.05;0.511;2.580;
18:53:46 12/06/2024;5.05;0.499;2.519;
18:53:47 12/06/2024;5.05;0.511;2.580;
18:53:47 12/06/2024;5.05;0.505;2.550;
18:53:48 12/06/2024;5.05;0.506;2.555;
18:53:48 12/06/2024;5.05;0.512;2.585;
18:53:49 12/06/2024;5.05;0.507;2.560;
18:53:49 12/06/2024;5.05;0.503;2.540;
18:53:50 12/06/2024;5.05;0.513;2.590;
18:53:50 12/06/2024;5.05;0.498;2.514;
18:53:51 12/06/2024;5.05;0.507;2.560;
18:53:51 12/06/2024;5.05;0.525;2.651;
18:53:52 12/06/2024;5.05;0.498;2.514;
18:53:52 12/06/2024;5.05;0.548;2.767;
18:53:53 12/06/2024;5.04;0.557;2.807;
18:53:53 12/06/2024;5.05;0.505;2.550;
18:53:54 12/06/2024;5.05;0.499;2.519;
18:53:54 12/06/2024;5.05;0.529;2.671;
18:53:55 12/06/2024;5.05;0.501;2.530;
18:53:55 12/06/2024;5.05;0.536;2.706;
18:53:56 12/06/2024;5.05;0.502;2.535;
18:53:56 12/06/2024;5.05;0.507;2.560;
18:53:57 12/06/2024;5.05;0.506;2.555;
18:53:57 12/06/2024;5.05;0.510;2.575;
18:53:58 12/06/2024;5.05;0.507;2.560;
18:53:58 12/06/2024;5.05;0.512;2.585;
18:53:59 12/06/2024;5.05;0.502;2.535;
18:53:59 12/06/2024;5.05;0.502;2.535;
18:54:00 12/06/2024;5.05;0.508;2.565;
18:54:00 12/06/2024;5.05;0.509;2.570;
18:54:01 12/06/2024;5.05;0.504;2.545;
18:54:01 12/06/2024;5.05;0.502;2.535;
18:54:02 12/06/2024;5.05;0.501;2.530;
18:54:02 12/06/2024;5.05;0.515;2.600;
18:54:03 12/06/2024;5.05;0.504;2.545;
18:54:03 12/06/2024;5.05;0.508;2.565;
18:54:04 12/06/2024;5.05;0.501;2.530;
18:54:04 12/06/2024;5.05;0.512;2.585;
18:54:05 12/06/2024;5.05;0.504;2.545;
18:54:05 12/06/2024;5.05;0.503;2.540;
18:54:06 12/06/2024;5.05;0.502;2.535;
18:54:06 12/06/2024;5.05;0.508;2.565;
18:54:07 12/06/2024;5.05;0.500;2.525;
18:54:07 12/06/2024;5.05;0.521;2.631;
18:54:08 12/06/2024;5.05;0.503;2.540;
18:54:08 12/06/2024;5.05;0.549;2.772;
18:54:09 12/06/2024;5.04;0.558;2.812;
18:54:09 12/06/2024;5.05;0.507;2.560;
18:54:10 12/06/2024;5.05;0.507;2.560;
18:54:10 12/06/2024;5.05;0.508;2.565;
18:54:11 12/06/2024;5.05;0.506;2.555;
18:54:11 12/06/2024;5.05;0.512;2.585;
18:54:12 12/06/2024;5.05;0.513;2.590;
18:54:12 12/06/2024;5.05;0.500;2.525;
18:54:13 12/06/2024;5.05;0.505;2.550;
18:54:13 12/06/2024;5.05;0.503;2.540;
18:54:14 12/06/2024;5.05;0.508;2.565;
18:54:14 12/06/2024;5.05;0.506;2.555;
18:54:15 12/06/2024;5.05;0.511;2.580;
18:54:15 12/06/2024;5.05;0.512;2.585;
18:54:16 12/06/2024;5.05;0.503;2.540;
18:54:16 12/06/2024;5.04;0.575;2.898;
18:54:17 12/06/2024;5.05;0.510;2.575;
18:54:17 12/06/2024;5.05;0.504;2.545;
18:54:18 12/06/2024;5.05;0.501;2.530;
18:54:18 12/06/2024;5.05;0.500;2.525;
18:54:19 12/06/2024;5.05;0.512;2.585;
18:54:19 12/06/2024;5.05;0.500;2.525;
18:54:20 12/06/2024;5.05;0.510;2.575;
18:54:20 12/06/2024;5.05;0.508;2.565;
18:54:21 12/06/2024;5.05;0.497;2.509;
18:54:21 12/06/2024;5.05;0.507;2.560;
18:54:22 12/06/2024;5.04;0.579;2.918;
18:54:22 12/06/2024;5.05;0.505;2.550;
18:54:23 12/06/2024;5.05;0.499;2.519;
18:54:23 12/06/2024;5.05;0.502;2.535;
18:54:24 12/06/2024;5.05;0.511;2.580;
18:54:24 12/06/2024;5.05;0.511;2.580;
18:54:25 12/06/2024;5.05;0.512;2.585;
18:54:25 12/06/2024;5.05;0.498;2.514;
18:54:26 12/06/2024;5.05;0.508;2.565;
18:54:26 12/06/2024;5.05;0.509;2.570;
18:54:27 12/06/2024;5.05;0.503;2.540;
18:54:27 12/06/2024;5.05;0.503;2.540;
18:54:28 12/06/2024;5.04;0.580;2.923;
18:54:28 12/06/2024;5.05;0.525;2.651;
18:54:29 12/06/2024;5.05;0.507;2.560;
18:54:29 12/06/2024;5.05;0.505;2.550;
18:54:30 12/06/2024;5.05;0.527;2.661;
18:54:30 12/06/2024;5.05;0.500;2.525;
18:54:31 12/06/2024;5.04;0.579;2.918;
18:54:31 12/06/2024;5.05;0.502;2.535;
18:54:32 12/06/2024;5.05;0.506;2.555;
18:54:32 12/06/2024;5.05;0.501;2.530;
18:54:33 12/06/2024;5.05;0.502;2.535;
18:54:33 12/06/2024;5.05;0.511;2.580;
18:54:34 12/06/2024;5.05;0.504;2.545;
18:54:34 12/06/2024;5.05;0.511;2.580;
18:54:35 12/06/2024;5.05;0.510;2.575;
18:54:35 12/06/2024;5.05;0.507;2.560;
18:54:36 12/06/2024;5.05;0.508;2.565;
18:54:36 12/06/2024;5.05;0.506;2.555;
18:54:37 12/06/2024;5.05;0.505;2.550;
18:54:37 12/06/2024;5.05;0.525;2.651;
18:54:38 12/06/2024;5.04;0.584;2.943;
18:54:38 12/06/2024;5.05;0.499;2.519;
18:54:39 12/06/2024;5.05;0.546;2.757;
18:54:39 12/06/2024;5.05;0.536;2.706;
18:54:40 12/06/2024;5.05;0.503;2.540;
18:54:40 12/06/2024;5.05;0.499;2.519;
18:54:41 12/06/2024;5.05;0.503;2.540;
18:54:41 12/06/2024;5.05;0.510;2.575;
18:54:42 12/06/2024;5.05;0.513;2.590;
18:54:42 12/06/2024;5.05;0.507;2.560;
18:54:43 12/06/2024;5.05;0.504;2.545;
18:54:43 12/06/2024;5.05;0.506;2.555;
18:54:44 12/06/2024;5.05;0.507;2.560;
18:54:44 12/06/2024;5.05;0.509;2.570;
18:54:45 12/06/2024;5.05;0.509;2.570;
18:54:45 12/06/2024;5.05;0.510;2.575;
18:54:46 12/06/2024;5.05;0.505;2.550;
18:54:46 12/06/2024;5.05;0.509;2.570;
18:54:47 12/06/2024;5.05;0.502;2.535;
18:54:47 12/06/2024;5.05;0.513;2.590;
18:54:48 12/06/2024;5.05;0.504;2.545;
18:54:48 12/06/2024;5.05;0.507;2.560;
18:54:49 12/06/2024;5.05;0.502;2.535;
18:54:49 12/06/2024;5.05;0.506;2.555;
18:54:50 12/06/2024;5.05;0.508;2.565;
18:54:50 12/06/2024;5.05;0.505;2.550;
18:54:51 12/06/2024;5.05;0.526;2.656;
18:54:51 12/06/2024;5.05;0.507;2.560;
18:54:52 12/06/2024;5.05;0.505;2.550;
18:54:52 12/06/2024;5.05;0.518;2.615;
18:54:53 12/06/2024;5.05;0.511;2.580;
18:54:53 12/06/2024;5.05;0.503;2.540;
18:54:54 12/06/2024;5.05;0.502;2.535;
18:54:54 12/06/2024;5.05;0.523;2.641;
18:54:55 12/06/2024;5.05;0.506;2.555;
18:54:55 12/06/2024;5.05;0.505;2.550;
18:54:56 12/06/2024;5.05;0.497;2.509;
18:54:56 12/06/2024;5.05;0.512;2.585;
18:54:57 12/06/2024;5.05;0.501;2.530;
18:54:57 12/06/2024;5.05;0.509;2.570;
18:54:58 12/06/2024;5.05;0.509;2.570;
18:54:58 12/06/2024;5.05;0.509;2.570;
18:54:59 12/06/2024;5.05;0.502;2.535;
18:54:59 12/06/2024;5.05;0.511;2.580;
18:55:00 12/06/2024;5.05;0.503;2.540;
18:55:00 12/06/2024;5.05;0.502;2.535;
18:55:01 12/06/2024;5.05;0.505;2.550;
18:55:01 12/06/2024;5.05;0.506;2.555;
18:55:02 12/06/2024;5.04;0.592;2.983;
18:55:02 12/06/2024;5.05;0.528;2.666;
18:55:03 12/06/2024;5.05;0.506;2.555;
18:55:03 12/06/2024;5.05;0.497;2.509;
18:55:04 12/06/2024;5.05;0.503;2.540;
18:55:04 12/06/2024;5.05;0.507;2.560;
18:55:05 12/06/2024;5.05;0.529;2.671;
18:55:05 12/06/2024;5.05;0.505;2.550;
18:55:06 12/06/2024;5.05;0.509;2.570;
18:55:06 12/06/2024;5.05;0.511;2.580;
18:55:07 12/06/2024;5.05;0.548;2.767;
18:55:07 12/06/2024;5.05;0.512;2.585;
18:55:08 12/06/2024;5.05;0.506;2.555;
18:55:08 12/06/2024;5.05;0.506;2.555;
18:55:09 12/06/2024;5.05;0.505;2.550;
18:55:09 12/06/2024;5.05;0.552;2.787;
18:55:10 12/06/2024;5.05;0.510;2.575;
18:55:10 12/06/2024;5.05;0.504;2.545;
18:55:11 12/06/2024;5.05;0.557;2.812;
18:55:11 12/06/2024;5.05;0.512;2.585;
18:55:12 12/06/2024;5.05;0.514;2.595;
18:55:12 12/06/2024;5.05;0.502;2.535;
18:55:13 12/06/2024;5.05;0.502;2.535;
18:55:13 12/06/2024;5.05;0.505;2.550;
18:55:14 12/06/2024;5.05;0.506;2.555;
18:55:14 12/06/2024;5.05;0.507;2.560;
18:55:15 12/06/2024;5.05;0.509;2.570;
18:55:15 12/06/2024;5.05;0.500;2.525;
18:55:16 12/06/2024;5.05;0.500;2.525;
18:55:16 12/06/2024;5.05;0.506;2.555;
18:55:17 12/06/2024;5.05;0.512;2.585;
18:55:17 12/06/2024;5.05;0.508;2.565;
18:55:18 12/06/2024;5.05;0.509;2.570;
18:55:18 12/06/2024;5.05;0.505;2.550;
18:55:19 12/06/2024;5.05;0.504;2.545;
18:55:19 12/06/2024;5.05;0.504;2.545;
18:55:20 12/06/2024;5.05;0.506;2.555;
18:55:20 12/06/2024;5.05;0.507;2.560;
18:55:21 12/06/2024;5.05;0.573;2.893;
18:55:21 12/06/2024;5.05;0.506;2.555;
18:55:22 12/06/2024;5.05;0.501;2.530;
18:55:22 12/06/2024;5.04;0.611;3.079;
18:55:23 12/06/2024;5.05;0.511;2.580;
18:55:23 12/06/2024;5.05;0.509;2.570;
18:55:24 12/06/2024;5.05;0.519;2.620;
18:55:24 12/06/2024;5.05;0.509;2.570;
18:55:25 12/06/2024;5.05;0.524;2.646;
18:55:25 12/06/2024;5.05;0.534;2.696;
18:55:26 12/06/2024;5.05;0.507;2.560;
18:55:26 12/06/2024;5.05;0.497;2.509;
18:55:27 12/06/2024;5.05;0.510;2.575;
18:55:27 12/06/2024;5.05;0.507;2.560;
18:55:28 12/06/2024;5.05;0.504;2.545;
18:55:28 12/06/2024;5.05;0.499;2.519;
18:55:29 12/06/2024;5.05;0.502;2.535;
18:55:30 12/06/2024;5.05;0.509;2.570;
18:55:30 12/06/2024;5.05;0.554;2.797;
18:55:31 12/06/2024;5.05;0.500;2.525;
18:55:31 12/06/2024;5.05;0.527;2.661;
18:55:32 12/06/2024;5.04;0.577;2.908;
18:55:32 12/06/2024;5.05;0.511;2.580;
18:55:33 12/06/2024;5.05;0.503;2.540;
18:55:33 12/06/2024;5.05;0.503;2.540;
18:55:34 12/06/2024;5.05;0.508;2.565;
18:55:34 12/06/2024;5.05;0.522;2.636;
18:55:35 12/06/2024;5.05;0.499;2.519;
18:55:35 12/06/2024;5.05;0.501;2.530;
18:55:36 12/06/2024;5.05;0.536;2.706;
18:55:36 12/06/2024;5.05;0.505;2.550;
18:55:37 12/06/2024;5.05;0.497;2.509;
18:55:37 12/06/2024;5.05;0.516;2.605;
18:55:38 12/06/2024;5.05;0.504;2.545;
18:55:38 12/06/2024;5.05;0.513;2.590;
18:55:39 12/06/2024;5.05;0.504;2.545;
18:55:39 12/06/2024;5.05;0.502;2.535;
18:55:40 12/06/2024;5.05;0.503;2.540;
18:55:40 12/06/2024;5.05;0.511;2.580;
18:55:41 12/06/2024;5.05;0.502;2.535;
18:55:41 12/06/2024;5.05;0.505;2.550;
18:55:42 12/06/2024;5.05;0.506;2.555;
18:55:42 12/06/2024;5.05;0.505;2.550;
18:55:43 12/06/2024;5.05;0.505;2.550;
18:55:43 12/06/2024;5.05;0.500;2.525;
18:55:44 12/06/2024;5.05;0.511;2.580;
18:55:44 12/06/2024;5.05;0.507;2.560;
18:55:45 12/06/2024;5.05;0.505;2.550;
18:55:45 12/06/2024;5.05;0.499;2.519;
18:55:46 12/06/2024;5.04;0.610;3.074;
18:55:46 12/06/2024;5.05;0.530;2.676;
18:55:47 12/06/2024;5.05;0.508;2.565;
18:55:47 12/06/2024;5.05;0.566;2.858;
18:55:48 12/06/2024;5.05;0.514;2.595;
18:55:48 12/06/2024;5.05;0.505;2.550;
18:55:49 12/06/2024;5.05;0.502;2.535;
18:55:49 12/06/2024;5.05;0.497;2.509;
18:55:50 12/06/2024;5.05;0.509;2.570;
18:55:50 12/06/2024;5.05;0.508;2.565;
18:55:51 12/06/2024;5.05;0.507;2.560;
18:55:51 12/06/2024;5.05;0.501;2.530;
18:55:52 12/06/2024;5.05;0.507;2.560;
18:55:52 12/06/2024;5.05;0.502;2.535;
18:55:53 12/06/2024;5.05;0.508;2.565;
18:55:53 12/06/2024;5.05;0.520;2.626;
18:55:54 12/06/2024;5.05;0.518;2.615;
18:55:54 12/06/2024;5.05;0.505;2.550;
18:55:55 12/06/2024;5.05;0.509;2.570;
18:55:55 12/06/2024;5.05;0.516;2.605;
18:55:56 12/06/2024;5.05;0.504;2.545;
18:55:56 12/06/2024;5.05;0.530;2.676;
18:55:57 12/06/2024;5.05;0.505;2.550;
18:55:57 12/06/2024;5.05;0.515;2.600;
18:55:58 12/06/2024;5.05;0.501;2.530;
18:55:58 12/06/2024;5.05;0.503;2.540;
18:55:59 12/06/2024;5.05;0.510;2.575;
18:55:59 12/06/2024;5.05;0.510;2.575;
18:56:00 12/06/2024;5.05;0.500;2.525;
18:56:00 12/06/2024;5.05;0.506;2.555;
18:56:01 12/06/2024;5.05;0.505;2.550;
18:56:01 12/06/2024;5.05;0.508;2.565;
18:56:02 12/06/2024;5.05;0.515;2.600;
18:56:02 12/06/2024;5.05;0.502;2.535;
18:56:03 12/06/2024;5.05;0.508;2.565;
18:56:03 12/06/2024;5.05;0.508;2.565;
18:56:04 12/06/2024;5.05;0.506;2.555;
18:56:04 12/06/2024;5.05;0.502;2.535;
18:56:05 12/06/2024;5.05;0.505;2.550;
18:56:05 12/06/2024;5.05;0.504;2.545;
18:56:06 12/06/2024;5.05;0.503;2.540;
18:56:06 12/06/2024;5.05;0.510;2.575;
18:56:07 12/06/2024;5.05;0.506;2.555;
18:56:07 12/06/2024;5.05;0.507;2.560;
18:56:08 12/06/2024;5.05;0.513;2.590;
18:56:08 12/06/2024;5.05;0.508;2.565;
18:56:09 12/06/2024;5.05;0.504;2.545;
18:56:09 12/06/2024;5.05;0.504;2.545;
18:56:10 12/06/2024;5.05;0.512;2.585;
18:56:10 12/06/2024;5.05;0.520;2.626;
18:56:11 12/06/2024;5.05;0.505;2.550;
18:56:11 12/06/2024;5.05;0.508;2.565;
18:56:12 12/06/2024;5.04;0.575;2.898;
18:56:12 12/06/2024;5.05;0.501;2.530;
18:56:13 12/06/2024;5.05;0.538;2.716;
18:56:13 12/06/2024;5.05;0.508;2.565;
18:56:14 12/06/2024;5.05;0.506;2.555;
18:56:14 12/06/2024;5.05;0.497;2.509;
18:56:15 12/06/2024;5.05;0.507;2.560;
18:56:15 12/06/2024;5.05;0.511;2.580;
18:56:16 12/06/2024;5.05;0.505;2.550;
18:56:16 12/06/2024;5.05;0.502;2.535;
18:56:17 12/06/2024;5.05;0.510;2.575;
18:56:17 12/06/2024;5.05;0.524;2.646;
18:56:18 12/06/2024;5.05;0.506;2.555;
18:56:18 12/06/2024;5.05;0.501;2.530;
18:56:19 12/06/2024;5.05;0.547;2.762;
18:56:19 12/06/2024;5.05;0.509;2.570;
18:56:20 12/06/2024;5.05;0.503;2.540;
18:56:20 12/06/2024;5.05;0.513;2.590;
18:56:21 12/06/2024;5.05;0.502;2.535;
18:56:21 12/06/2024;5.05;0.505;2.550;
18:56:22 12/06/2024;5.05;0.504;2.545;
18:56:22 12/06/2024;5.05;0.507;2.560;
18:56:23 12/06/2024;5.05;0.531;2.681;
18:56:23 12/06/2024;5.05;0.563;2.843;
18:56:24 12/06/2024;5.05;0.501;2.530;
18:56:24 12/06/2024;5.05;0.566;2.858;
18:56:25 12/06/2024;5.05;0.536;2.706;
18:56:25 12/06/2024;5.05;0.501;2.530;
18:56:26 12/06/2024;5.05;0.509;2.570;
18:56:26 12/06/2024;5.05;0.509;2.570;
18:56:27 12/06/2024;5.05;0.502;2.535;
18:56:27 12/06/2024;5.05;0.510;2.575;
18:56:28 12/06/2024;5.05;0.505;2.550;
